rank,title,author,goodreads_rating,goodreads_count,sources_count,list_book_rating,publish_date,tags,featured_in
74,The Master and Margarita,Mikhail Bulgakov,,,,,1996-03-01,,
75,A Room of One's Own,Virginia Woolf,,,,,2000-01-01,,
76,Essentialism,Greg McKeown,,,,,2014-04-15,,
77,Start with Why,Simon Sinek,,,,,2009-10-29,,
78,The Emperor's Soul,Brandon Sanderson,,,,,2012-10-11,,
79,The 7 Habits of Highly Effective People,Stephen R. Covey,,,,,2004-11-09,,
80,The Outsiders,S. E. Hinton,,,,,1997-09-01,,
81,A Tale of Two Cities,Charles Dickens,,,,,2003-01-01,,
82,A Little Life,Hanya Yanagihara,,,,,2015-03-10,,
83,The Little Prince,Antoine de Saint-Exupéry,,,,,2000-06-29,,
84,The Bhagavad Gita,Eknath Easwaran,,,,,2003-01-01,,
85,Tao Te Ching,Lao Tzu,,,,,1989-08-28,,
86,Assassin's Apprentice,Robin Hobb,,,,,1996-03-01,,
87,"The Lion, the Witch and the Wardrobe",C. S. Lewis,,,,,2005-01-01,,
88,Principles,Ray Dalio,,,,,2017-09-19,,
89,Solito,Javier Zamora,,,,,2022-09-06,,
90,Mindset,Carol S. Dweck,,,,,2006-02-28,,
91,The Color Purple,Alice Walker,,,,,2019-12-10,,
92,Do Androids Dream of Electric Sheep?,Philip K. Dick,,,,,2008-02-26,,
93,Good To Great,Jim Collins,,,,,2001-10-16,,
94,The Spy Who Came in from the Cold,John le Carré,,,,,2001-11-27,,
95,All the Light We Cannot See,Anthony Doerr,,,,,2014-01-01,,
96,The Warmth of Other Suns,Isabel Wilkerson,,,,,2010-09-07,,
97,Finding Me,Viola Davis,,,,,2022-04-26,,
98,"Thinking, Fast and Slow",Daniel Kahneman,,,,,2011-10-25,,
99,Bad Blood,John Carreyrou,,,,,2018-05-21,,
100,Influence,Robert B. Cialdini,,,,,2006-12-26,,
